mprove50_x,mprove50_y
23,-6.808170956730129e-06
23,5.442080321141852e-06
23,5.503967068535072e-06
23,1.586929652582338e-05
23,-4.055763201777198e-05
23,-2.2275153380040842e-05
23,-4.132604285300735e-05
23,0.0006067787651318534
23,7.281498497093824e-05
23,8.910162244986121e-05
23,0.0005445037195108369
23,-0.00013967451322301335
23,-7.074154268449007e-05
23,7.240049668195083e-05
23,-0.0004759463249176531
23,-0.0007259070834134928
3,-1.3535713957320731e-15
2,-7.372271900073676e-15
1,4.39749937925752e-15
0,3.683318514161747e-16
1,-2.0102434941041323e-15
4,-9.440188703791555e-15
5,-7.962051202909369e-13
6,4.1619525851119415e-13
7,1.3069444089524647e-12
8,1.023020362817743e-11
9,-3.6950913823780476e-11
10,-4.9746449846452824e-11
11,-1.8549481764733542e-10
12,7.817652393670256e-09
13,1.2472967099688184e-09
14,2.7283107212893313e-09
15,1.9525061207894397e-08
16,-2.5625748578093736e-08
17,-3.2350780224823196e-08
18,-1.1002536015841683e-07
19,6.032717427473016e-07
20,3.1927267268449874e-07
21,6.74728853959375e-07
22,1.157041450465562e-05
23,-2.755885300079722e-06
24,-3.8096340992157453e-06
24,-1.6246657925873487e-05
24,2.2499736656321205e-05
24,1.913410168168293e-05
24,4.7499768546866556e-05
24,-0.00021504503121229154
